angkatan,program,ips_sem1,ips_sem2,ips_sem3,sks_sem1,sks_sem2,sks_sem3,failed_courses,failed_in_sem1,repeated_courses,ips_trend,avg_ips,ips_std,ips_min,sks_completion_ratio,target
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,4.0,14.0,18.0,6.0,0,0,0,0.8199999999999998,3.4766666666666666,0.454569393309023,3.18,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,4.0,14.0,18.0,6.0,0,0,0,0.8199999999999998,3.4766666666666666,0.454569393309023,3.18,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,4.0,14.0,18.0,6.0,0,0,0,0.8199999999999998,3.4766666666666666,0.454569393309023,3.18,0.6333333333333333,1
2015,1,3.18,3.25,4.0,14.0,18.0,6.0,0,0,0,0.8199999999999998,3.4766666666666666,0.454569393309023,3.18,0.6333333333333333,1
2015,1,3.18,3.25,4.0,14.0,18.0,6.0,0,0,0,0.8199999999999998,3.4766666666666666,0.454569393309023,3.18,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,4.0,14.0,18.0,6.0,0,0,0,0.8199999999999998,3.4766666666666666,0.454569393309023,3.18,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,4.0,14.0,18.0,6.0,0,0,0,0.8199999999999998,3.4766666666666666,0.454569393309023,3.18,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,4.0,14.0,18.0,6.0,0,0,0,0.8199999999999998,3.4766666666666666,0.454569393309023,3.18,0.6333333333333333,1
2015,1,3.18,3.25,4.0,14.0,18.0,6.0,0,0,0,0.8199999999999998,3.4766666666666666,0.454569393309023,3.18,0.6333333333333333,1
2015,1,3.18,3.25,4.0,14.0,18.0,6.0,0,0,0,0.8199999999999998,3.4766666666666666,0.454569393309023,3.18,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,4.0,14.0,18.0,6.0,0,0,0,0.8199999999999998,3.4766666666666666,0.454569393309023,3.18,0.6333333333333333,1
2015,1,3.18,3.25,4.0,14.0,18.0,6.0,0,0,0,0.8199999999999998,3.4766666666666666,0.454569393309023,3.18,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,4.0,14.0,18.0,6.0,0,0,0,0.8199999999999998,3.4766666666666666,0.454569393309023,3.18,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,4.0,14.0,18.0,6.0,0,0,0,0.8199999999999998,3.4766666666666666,0.454569393309023,3.18,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,4.0,14.0,18.0,6.0,0,0,0,0.8199999999999998,3.4766666666666666,0.454569393309023,3.18,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,1,3.18,3.25,3.0,14.0,18.0,6.0,0,0,0,-0.18000000000000016,3.143333333333333,0.12897028081435405,3.0,0.6333333333333333,1
2015,0,3.18,3.25,3.67,14.0,18.0,9.0,0,0,1,0.48999999999999977,3.3666666666666667,0.26501572280401264,3.18,0.6833333333333333,1
2015,0,3.0,3.13,3.5,20.0,16.0,20.0,0,0,0,0.5,3.2099999999999995,0.25942243542145693,3.0,0.9333333333333333,1
2015,0,3.0,3.13,3.0,20.0,16.0,20.0,0,0,0,0.0,3.043333333333333,0.07505553499465129,3.0,0.9333333333333333,1
2015,0,3.4,3.38,3.7,20.0,16.0,20.0,0,0,0,0.30000000000000027,3.4933333333333336,0.1792577287966502,3.38,0.9333333333333333,1
2015,0,3.0,3.13,3.0,20.0,16.0,20.0,0,0,0,0.0,3.043333333333333,0.07505553499465129,3.0,0.9333333333333333,1
2015,0,3.3,3.38,3.35,20.0,16.0,20.0,0,0,0,0.050000000000000266,3.3433333333333333,0.04041451884327386,3.3,0.9333333333333333,1
2015,0,3.5,3.38,3.5,20.0,16.0,20.0,0,0,0,0.0,3.4599999999999995,0.06928203230275516,3.38,0.9333333333333333,1
2015,0,3.1,3.25,3.5,20.0,16.0,20.0,0,0,0,0.3999999999999999,3.283333333333333,0.20207259421636897,3.1,0.9333333333333333,1
2015,0,3.0,3.0,3.0,20.0,16.0,20.0,0,0,0,0.0,3.0,0.0,3.0,0.9333333333333333,1
2015,0,3.6,3.63,3.65,20.0,16.0,20.0,0,0,0,0.04999999999999982,3.626666666666667,0.025166114784235735,3.6,0.9333333333333333,1
2015,0,3.1,3.0,3.0,20.0,16.0,20.0,0,0,0,-0.10000000000000009,3.033333333333333,0.05773502691896263,3.0,0.9333333333333333,1
2015,0,3.1,3.13,3.0,20.0,16.0,20.0,0,0,0,-0.10000000000000009,3.0766666666666667,0.06806859285554043,3.0,0.9333333333333333,1
2015,0,3.1,3.13,3.65,20.0,16.0,20.0,0,0,0,0.5499999999999998,3.2933333333333334,0.3092463958291726,3.1,0.9333333333333333,1
2015,0,3.4,3.5,4.0,20.0,16.0,20.0,0,0,0,0.6000000000000001,3.6333333333333333,0.3214550253664319,3.4,0.9333333333333333,1
2015,0,3.1,3.5,3.3,20.0,16.0,20.0,0,0,0,0.19999999999999973,3.2999999999999994,0.19999999999999996,3.1,0.9333333333333333,1
2015,0,3.2,3.38,3.15,20.0,16.0,20.0,0,0,0,-0.050000000000000266,3.2433333333333336,0.12096831541082696,3.15,0.9333333333333333,1
2015,0,3.1,3.0,3.2,20.0,16.0,20.0,0,0,0,0.10000000000000009,3.1,0.10000000000000009,3.0,0.9333333333333333,1
2015,0,2.9,3.13,3.15,20.0,16.0,20.0,0,0,0,0.25,3.06,0.13892443989449804,2.9,0.9333333333333333,1
2015,0,3.0,3.13,3.0,20.0,16.0,20.0,0,0,0,0.0,3.043333333333333,0.07505553499465129,3.0,0.9333333333333333,1
2015,0,3.0,3.0,3.0,20.0,16.0,20.0,0,0,0,0.0,3.0,0.0,3.0,0.9333333333333333,1
2015,0,3.1,3.38,3.2,20.0,16.0,20.0,0,0,0,0.10000000000000009,3.2266666666666666,0.14189197769195167,3.1,0.9333333333333333,1
2015,0,3.1,3.13,3.3,20.0,16.0,20.0,0,0,0,0.19999999999999973,3.176666666666667,0.10785793124908946,3.1,0.9333333333333333,1
2015,0,3.1,3.0,3.35,20.0,16.0,20.0,0,0,0,0.25,3.15,0.1802775637731995,3.0,0.9333333333333333,1
2015,0,3.0,3.38,3.55,20.0,16.0,20.0,0,0,0,0.5499999999999998,3.31,0.28160255680657437,3.0,0.9333333333333333,1
2015,0,3.0,3.0,3.0,20.0,16.0,20.0,0,0,0,0.0,3.0,0.0,3.0,0.9333333333333333,1
2015,0,3.3,3.38,3.67,20.0,16.0,20.0,8,0,8,0.3700000000000001,3.4499999999999997,0.1946792233393179,3.3,0.9333333333333333,0
2015,0,3.0,3.0,3.0,20.0,16.0,20.0,0,0,0,0.0,3.0,0.0,3.0,0.9333333333333333,1
2015,0,3.0,3.13,3.7,20.0,16.0,20.0,0,0,0,0.7000000000000002,3.276666666666667,0.3723349746308201,3.0,0.9333333333333333,1
2015,0,3.0,3.0,3.0,20.0,16.0,20.0,0,0,0,0.0,3.0,0.0,3.0,0.9333333333333333,1
2015,0,3.1,3.13,3.0,20.0,16.0,20.0,0,0,0,-0.10000000000000009,3.0766666666666667,0.06806859285554043,3.0,0.9333333333333333,1
2015,0,2.6,3.0,3.0,20.0,16.0,20.0,0,0,0,0.3999999999999999,2.8666666666666667,0.23094010767585024,2.6,0.9333333333333333,0
2015,0,3.5,3.38,3.65,20.0,16.0,20.0,0,0,0,0.1499999999999999,3.51,0.13527749258468683,3.38,0.9333333333333333,1
2015,0,3.5,3.13,3.35,20.0,16.0,20.0,0,0,0,-0.1499999999999999,3.3266666666666667,0.18610033136277151,3.13,0.9333333333333333,1
2015,0,3.0,3.5,3.5,20.0,16.0,20.0,0,0,0,0.5,3.3333333333333335,0.2886751345948129,3.0,0.9333333333333333,1
2015,0,3.2,3.13,3.15,20.0,16.0,20.0,0,0,0,-0.050000000000000266,3.16,0.03605551275464005,3.13,0.9333333333333333,1
2015,0,3.0,3.5,3.2,20.0,16.0,20.0,0,0,0,0.20000000000000018,3.233333333333333,0.2516611478423583,3.0,0.9333333333333333,1
2015,0,2.8,3.0,3.0,20.0,16.0,20.0,0,0,0,0.20000000000000018,2.9333333333333336,0.11547005383792526,2.8,0.9333333333333333,1
2015,0,3.0,3.38,3.15,20.0,16.0,20.0,0,0,0,0.1499999999999999,3.1766666666666663,0.19139836293274118,3.0,0.9333333333333333,1
2015,0,3.0,3.0,3.35,20.0,16.0,20.0,0,0,0,0.3500000000000001,3.1166666666666667,0.20207259421636906,3.0,0.9333333333333333,1
2015,0,3.0,3.13,3.0,20.0,16.0,20.0,0,0,0,0.0,3.043333333333333,0.07505553499465129,3.0,0.9333333333333333,1
2016,1,3.18,3.0,3.0,14.0,2.0,6.0,0,0,0,-0.18000000000000016,3.06,0.10392304845413274,3.0,0.36666666666666664,1
2016,1,3.18,3.0,3.67,14.0,2.0,6.0,1,0,1,0.48999999999999977,3.283333333333333,0.3467467856135559,3.0,0.36666666666666664,1
2016,1,3.18,4.0,3.0,14.0,2.0,6.0,0,0,0,-0.18000000000000016,3.393333333333333,0.5330415868704179,3.0,0.36666666666666664,1
2016,1,3.18,4.0,3.0,14.0,2.0,6.0,0,0,0,-0.18000000000000016,3.393333333333333,0.5330415868704179,3.0,0.36666666666666664,1
2016,1,3.18,4.0,4.0,14.0,2.0,6.0,0,0,0,0.8199999999999998,3.7266666666666666,0.47342722073549304,3.18,0.36666666666666664,1
2016,1,3.18,4.0,3.0,14.0,2.0,6.0,0,0,0,-0.18000000000000016,3.393333333333333,0.5330415868704179,3.0,0.36666666666666664,1
