student_id,angkatan,program,jenis_kelamin,id_agama,ips_sem1,ips_sem2,ips_sem3,ips_sem4,ipk_sem4,sks_sem1,sks_sem2,sks_sem3,sks_sem4,total_sks_lulus_sem4,failed_courses,failed_in_sem1,repeated_courses,avg_attendance,ips_trend,avg_ips,ips_std,ips_max,ips_min,sks_completion_ratio,semester_count,target
2152061,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152062,2015,IH,L,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152063,2015,IH,L,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152064,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152065,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152066,2015,IH,L,2,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152067,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152068,2015,IH,L,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152069,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152070,2015,IH,L,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152071,2015,IH,L,2,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152073,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152074,2015,IH,L,2,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152076,2015,IH,L,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152077,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152078,2015,IH,P,2,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152081,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152082,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
21522310,2015,AP,P,2,,,,4.0,4.0,,,,4,4,0,0,1,,,,,,,0.05,4,1
2152269,2015,AP,P,1,3.0,3.13,3.5,3.21,3.21,20,16,20,19,75,0,0,0,,0.21,3.21,0.2118,3.5,3.0,0.9375,6,1
2152270,2015,AP,L,1,3.0,3.13,3.0,3.11,3.05,20,16,20,19,75,0,0,0,,0.11,3.06,0.0698,3.13,3.0,0.9375,6,1
2152271,2015,AP,P,1,3.4,3.38,3.7,3.58,3.52,20,16,20,19,75,0,0,0,,0.18,3.515,0.1526,3.7,3.38,0.9375,6,1
2152272,2015,AP,L,1,3.0,3.13,3.0,3.0,3.03,20,16,20,19,75,0,0,0,,0.0,3.0325,0.065,3.13,3.0,0.9375,6,1
2152273,2015,AP,P,1,3.3,3.38,3.35,3.4699999999999998,3.37,20,16,20,19,75,0,0,0,,0.17,3.375,0.0714,3.47,3.3,0.9375,6,1
2152274,2015,AP,P,2,3.5,3.38,3.5,3.21,3.4,20,16,20,19,75,0,0,0,,-0.29,3.3975,0.1372,3.5,3.21,0.9375,6,1
2152275,2015,AP,P,2,3.1,3.25,3.5,3.32,3.29,20,16,20,19,75,0,0,0,,0.22,3.2925,0.166,3.5,3.1,0.9375,6,1
2152277,2015,AP,P,1,3.0,3.0,3.0,3.0,3.0,20,16,20,19,75,0,0,0,,0.0,3.0,0.0,3.0,3.0,0.9375,6,1
2152278,2015,AP,L,1,3.6,3.63,3.65,3.58,3.61,20,16,20,19,75,0,0,0,,-0.02,3.615,0.0311,3.65,3.58,0.9375,6,1
2152279,2015,AP,P,1,3.1,3.0,3.0,3.21,3.08,20,16,20,19,75,0,0,0,,0.11,3.0775,0.1001,3.21,3.0,0.9375,6,1
2152280,2015,AP,L,4,3.1,3.13,3.0,3.0,3.05,20,16,20,19,75,0,0,0,,-0.1,3.0575,0.0675,3.13,3.0,0.9375,6,1
2152281,2015,AP,P,2,3.1,3.13,3.65,3.4699999999999998,3.35,20,16,20,19,75,0,0,0,,0.37,3.3375,0.2675,3.65,3.1,0.9375,6,1
2152282,2015,AP,P,1,3.4,3.5,4.0,3.5300000000000002,3.61,20,16,20,19,75,0,0,0,,0.13,3.6075,0.2675,4.0,3.4,0.9375,6,1
2152283,2015,AP,P,1,3.1,3.5,3.3,3.4699999999999998,3.33,20,16,20,19,75,0,0,0,,0.37,3.3425,0.1841,3.5,3.1,0.9375,6,1
2152284,2015,AP,P,1,3.2,3.38,3.15,3.21,3.23,20,16,20,19,75,0,0,0,,0.01,3.235,0.1002,3.38,3.15,0.9375,6,1
